,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Outlet_Year
673,FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55.393,OUT017,Small,Tier 2,Supermarket Type1,1471.418,Train,16
674,NCB18,19.6,Low Fat,0.041459372,Household,89.6514,OUT018,Medium,Tier 3,Supermarket Type2,1239.7196,Train,14
675,NCL53,7.5,Low Fat,0.036234918,Health and Hygiene,175.3028,OUT046,Small,Tier 1,Supermarket Type1,3896.2616,Train,26
676,FDR16,5.845,Regular,0.105445801,Frozen Foods,214.4218,OUT018,Medium,Tier 3,Supermarket Type2,1496.0526,Train,14
677,NCQ05,11.395,Low Fat,0.01821854,Health and Hygiene,151.6708,OUT013,High,Tier 3,Supermarket Type1,3460.8284,Train,36
678,FDF44,7.17,Regular,0.05997133,Fruits and Vegetables,132.1968,OUT018,Medium,Tier 3,Supermarket Type2,2870.9296,Train,14
679,FDU50,5.75,Regular,0.075595405,Dairy,114.7176,OUT017,Small,Tier 2,Supermarket Type1,1259.6936,Train,16
680,FDG20,15.5,Regular,0.210375806,Fruits and Vegetables,178.2028,OUT010,Small,Tier 3,Grocery Store,177.1028,Train,25
681,FDD58,7.76,Low Fat,0.059341019,Snack Foods,99.77,OUT035,Small,Tier 2,Supermarket Type1,798.96,Train,19
682,FDT01,13.65,Regular,0.18520944,Canned,212.9902,OUT017,Small,Tier 2,Supermarket Type1,3185.853,Train,16
683,FDK15,10.8,Low Fat,0.098566832,Meat,98.3042,OUT049,Medium,Tier 1,Supermarket Type1,1488.063,Train,24
684,FDJ08,11.1,Low Fat,0.11084417,Fruits and Vegetables,189.2846,OUT049,Medium,Tier 1,Supermarket Type1,5159.2842,Train,24
685,FDS10,19.2,Low Fat,0.0350152,Snack Foods,182.0318,OUT027,Medium,Tier 3,Supermarket Type3,5954.2494,Train,38
686,FDJ55,12.8,Regular,0.023567538,Meat,226.8404,OUT049,Medium,Tier 1,Supermarket Type1,4500.808,Train,24
687,FDU32,8.785,Low Fat,0.0227454368,Fruits and Vegetables,123.0414,OUT010,Small,Tier 3,Grocery Store,121.8414,Train,25
688,FDG09,20.6,Regular,0.04792722,Fruits and Vegetables,185.9556,OUT035,Small,Tier 2,Supermarket Type1,4318.3788,Train,19
689,FDE39,7.89,Low Fat,0.036207786,Dairy,121.0782,OUT045,Small,Tier 2,Supermarket Type1,3456.1678,Train,21
690,FDU56,16.85,Low Fat,0.044377096,Fruits and Vegetables,185.8266,OUT013,High,Tier 3,Supermarket Type1,1659.8394,Train,36
691,NCH55,16.35,Low Fat,0.034742632,Household,127.402,OUT045,Small,Tier 2,Supermarket Type1,759.012,Train,21
692,FDX33,9.195000000000002,Regular,0.116915909,Snack Foods,159.4578,OUT027,Medium,Tier 3,Supermarket Type3,4974.1918,Train,38
693,FDR24,17.35,Regular,0.062979148,Baking Goods,87.983,OUT045,Small,Tier 2,Supermarket Type1,1707.777,Train,21
694,FDC33,8.96,Regular,0.068604503,Fruits and Vegetables,197.3768,OUT027,Medium,Tier 3,Supermarket Type3,7488.9184,Train,38
695,NCV54,11.1,Low Fat,0.03294861,Household,116.8124,OUT027,Medium,Tier 3,Supermarket Type3,2488.7604,Train,38
696,NCQ02,12.6,Low Fat,0.007450258,Household,186.7556,OUT013,High,Tier 3,Supermarket Type1,2816.334,Train,36
697,NCU17,5.32,Low Fat,0.093027718,Health and Hygiene,101.4674,OUT049,Medium,Tier 1,Supermarket Type1,2954.1546,Train,24
698,NCZ06,19.6,Low Fat,0.164864915,Household,255.2698,OUT019,Small,Tier 1,Grocery Store,761.0094,Train,38
699,FDV37,13.0,Regular,0.083498083,Canned,199.4426,OUT035,Small,Tier 2,Supermarket Type1,593.2278,Train,19
700,DRH25,18.7,Low Fat,0.014522363,Soft Drinks,50.2324,OUT027,Medium,Tier 3,Supermarket Type3,1298.31,Train,38
701,NCI43,19.85,Low Fat,0.025963795,Household,46.3376,OUT035,Small,Tier 2,Supermarket Type1,1150.5024,Train,19
702,NCQ53,17.6,Low Fat,0.019012262,Health and Hygiene,237.159,OUT017,Small,Tier 2,Supermarket Type1,3072.667,Train,16
703,NCT18,14.6,Low Fat,0.059393919,Household,181.7976,OUT035,Small,Tier 2,Supermarket Type1,3259.7568,Train,19
704,FDF14,7.55,Low Fat,0.027212058,Canned,152.734,OUT049,Medium,Tier 1,Supermarket Type1,2756.412,Train,24
705,FDM14,13.8,Low Fat,0.013263968,Canned,106.9254,OUT046,Small,Tier 1,Supermarket Type1,2930.1858,Train,26
706,FDX57,17.25,Regular,0.079113947,Snack Foods,99.2068,OUT010,Small,Tier 3,Grocery Store,97.2068,Train,25
707,NCV05,10.1,Low Fat,0.03020851,Health and Hygiene,153.1656,OUT046,Small,Tier 1,Supermarket Type1,1544.656,Train,26
708,FDX39,14.3,Regular,0.049634817,Meat,212.5586,OUT013,High,Tier 3,Supermarket Type1,3165.879,Train,36
709,FDA23,9.8,Low Fat,0.047187038,Baking Goods,100.6016,OUT046,Small,Tier 1,Supermarket Type1,1619.2256,Train,26
710,NCV06,11.3,Low Fat,0.066681333,Household,194.4478,OUT046,Small,Tier 1,Supermarket Type1,387.4956,Train,26
711,NCE31,7.67,Low Fat,0.185218446,Household,36.3216,OUT045,Small,Tier 2,Supermarket Type1,415.4592,Train,21
712,DRI39,13.8,Low Fat,0.162462044,Dairy,55.893,OUT010,Small,Tier 3,Grocery Store,226.372,Train,25
713,FDH21,10.395,Low Fat,0.031273559,Seafood,160.0604,OUT049,Medium,Tier 1,Supermarket Type1,1267.6832,Train,24
714,FDR26,20.7,Low Fat,0.042836778,Dairy,175.8028,OUT046,Small,Tier 1,Supermarket Type1,1593.9252,Train,26
715,FDA14,16.1,Low Fat,0.114127418,Dairy,147.176,OUT019,Small,Tier 1,Grocery Store,585.904,Train,38
716,FDG21,17.35,Regular,0.146895866,Seafood,149.605,OUT018,Medium,Tier 3,Supermarket Type2,3745.125,Train,14
717,NCQ38,16.35,Low Fat,0.013420879,Others,104.828,OUT018,Medium,Tier 3,Supermarket Type2,1810.976,Train,14
718,FDN20,19.35,Low Fat,0.026181893,Fruits and Vegetables,167.0474,OUT046,Small,Tier 1,Supermarket Type1,2358.2636,Train,26
719,NCN29,15.2,Low Fat,0.012184999,Health and Hygiene,50.3034,OUT017,Small,Tier 2,Supermarket Type1,145.8102,Train,16
720,FDI28,14.3,Low Fat,0.026428924,Frozen Foods,78.2302,OUT018,Medium,Tier 3,Supermarket Type2,554.6114,Train,14
721,FDA03,18.5,Regular,0.045243613,Dairy,146.8102,OUT027,Medium,Tier 3,Supermarket Type3,3499.4448,Train,38
722,FDZ28,20.0,Regular,0.0537175658,Frozen Foods,127.3678,OUT046,Small,Tier 1,Supermarket Type1,1780.3492,Train,26
723,FDO52,11.6,Regular,0.076790922,Frozen Foods,172.1106,OUT027,Medium,Tier 3,Supermarket Type3,2566.659,Train,38
724,FDU10,10.1,Regular,0.045950475,Snack Foods,38.2848,OUT017,Small,Tier 2,Supermarket Type1,1230.3984,Train,16
725,FDP13,8.1,Regular,0.133673087,Canned,41.548,OUT027,Medium,Tier 3,Supermarket Type3,918.804,Train,38
726,FDV02,16.75,Low Fat,0.060252433,Dairy,170.7106,OUT027,Medium,Tier 3,Supermarket Type3,3079.9908,Train,38
727,FDS28,8.18,Regular,0.082529704,Frozen Foods,56.9588,OUT049,Medium,Tier 1,Supermarket Type1,744.3644,Train,24
728,FDW49,19.5,Low Fat,0.082552214,Canned,179.8002,OUT046,Small,Tier 1,Supermarket Type1,716.4008,Train,26
729,FDP33,18.7,Low Fat,0.089272253,Snack Foods,254.7672,OUT046,Small,Tier 1,Supermarket Type1,5113.344,Train,26
730,FDJ03,12.35,Regular,0.072541731,Dairy,48.5692,OUT045,Small,Tier 2,Supermarket Type1,886.8456,Train,21
731,FDQ51,16.0,Regular,0.017536671,Meat,45.5718,OUT013,High,Tier 3,Supermarket Type1,1039.9796,Train,36
732,DRK23,8.395,Low Fat,0.072088552,Hard Drinks,253.704,OUT049,Medium,Tier 1,Supermarket Type1,4554.072,Train,24
733,FDU11,4.785,Low Fat,0.092781435,Breads,119.7098,OUT045,Small,Tier 2,Supermarket Type1,1807.647,Train,21
734,NCK06,5.03,Low Fat,0.008644894,Household,122.6756,OUT035,Small,Tier 2,Supermarket Type1,2665.8632,Train,19
735,FDY09,15.6,Low Fat,0.025342692,Snack Foods,174.3054,OUT017,Small,Tier 2,Supermarket Type1,1751.054,Train,16
736,NCY18,7.285,Low Fat,0.031145743,Household,173.6054,OUT035,Small,Tier 2,Supermarket Type1,2626.581,Train,19
737,FDA10,20.35,Low Fat,0.137468237,Snack Foods,120.9072,OUT049,Medium,Tier 1,Supermarket Type1,1470.0864,Train,24
738,FDO34,17.7,Low Fat,0.030108283,Snack Foods,165.9816,OUT017,Small,Tier 2,Supermarket Type1,4362.3216,Train,16
739,FDE38,6.5200000000000005,Low Fat,0.044391149,Canned,164.3842,OUT027,Medium,Tier 3,Supermarket Type3,4476.1734,Train,38
740,FDF40,20.25,Regular,0.022639471,Dairy,248.4092,OUT017,Small,Tier 2,Supermarket Type1,2241.0828,Train,16
741,FDY02,8.945,Regular,0.0913836609,Dairy,264.791,OUT017,Small,Tier 2,Supermarket Type1,4733.838,Train,16
742,FDS03,7.825,Low Fat,0.139419417,Meat,66.0826,OUT019,Small,Tier 1,Grocery Store,258.3304,Train,38
743,FDB59,18.25,Low Fat,0.015278899,Snack Foods,199.0084,OUT046,Small,Tier 1,Supermarket Type1,3174.5344,Train,26
744,NCQ42,20.35,Low Fat,0.039329257,Household,127.6678,OUT049,Medium,Tier 1,Supermarket Type1,2924.8594,Train,24
745,FDO15,16.75,Regular,0.008579863,Meat,72.3038,OUT049,Medium,Tier 1,Supermarket Type1,960.7494,Train,24
746,DRN47,12.1,Low Fat,0.028164527,Hard Drinks,178.166,OUT010,Small,Tier 3,Grocery Store,539.298,Train,25
747,FDA03,18.5,Regular,0.04385452222222222,Dairy,144.2102,OUT035,Small,Tier 2,Supermarket Type1,2041.3428,Train,19
748,FDA01,15.0,Regular,0.054367971,Canned,58.5904,OUT035,Small,Tier 2,Supermarket Type1,996.0368,Train,19
749,FDB38,19.5,Regular,0.0273467,Canned,158.992,OUT046,Small,Tier 1,Supermarket Type1,1757.712,Train,26
750,FDT59,13.65,Low Fat,0.016001434,Breads,230.6668,OUT017,Small,Tier 2,Supermarket Type1,1842.9344,Train,16
751,FDG08,13.15,Regular,0.165328057,Fruits and Vegetables,170.6764,OUT035,Small,Tier 2,Supermarket Type1,3435.528,Train,19
752,FDV56,16.1,Regular,0.013529884,Fruits and Vegetables,106.2596,OUT027,Medium,Tier 3,Supermarket Type3,1402.1748,Train,38
753,FDY26,20.6,Regular,0.030510526,Dairy,211.4244,OUT046,Small,Tier 1,Supermarket Type1,7833.8028,Train,26
754,DRE13,6.28,Low Fat,0.027699863,Soft Drinks,87.9198,OUT035,Small,Tier 2,Supermarket Type1,1221.0772,Train,19
755,FDE51,5.925,Regular,0.09646733,Dairy,42.8086,OUT046,Small,Tier 1,Supermarket Type1,669.129,Train,26
756,FDL40,17.7,Low Fat,0.011636708,Frozen Foods,94.541,OUT045,Small,Tier 2,Supermarket Type1,1061.951,Train,21
757,FDD50,18.85,Low Fat,0.141642219,Canned,168.1132,OUT046,Small,Tier 1,Supermarket Type1,2874.9244,Train,26
758,FDC04,15.6,Low Fat,0.044767801,Dairy,241.8854,OUT027,Medium,Tier 3,Supermarket Type3,4592.0226,Train,38
759,FDN15,17.5,Low Fat,0.028009382,Meat,141.718,OUT010,Small,Tier 3,Grocery Store,419.454,Train,25
760,FDC46,17.7,Low Fat,0.1164455,Snack Foods,182.8266,OUT013,High,Tier 3,Supermarket Type1,5163.9448,Train,36
761,FDV56,16.1,Regular,0.013584408,Fruits and Vegetables,107.7596,OUT013,High,Tier 3,Supermarket Type1,323.5788,Train,36
762,FDK43,9.8,Low Fat,0.026950104,Meat,128.402,OUT018,Medium,Tier 3,Supermarket Type2,1265.02,Train,14
763,NCR29,7.565,Low Fat,0.054751689,Health and Hygiene,54.793,OUT045,Small,Tier 2,Supermarket Type1,622.523,Train,21
764,FDY03,17.6,Regular,0.076121831,Meat,111.7202,OUT046,Small,Tier 1,Supermarket Type1,1125.202,Train,26
765,FDU44,12.15,Regular,0.058516562,Fruits and Vegetables,164.1552,OUT049,Medium,Tier 1,Supermarket Type1,5198.5664,Train,24
766,FDZ04,9.31,Low Fat,0.037923509,Frozen Foods,61.651,OUT013,High,Tier 3,Supermarket Type1,379.506,Train,36
767,FDU16,19.25,Regular,0.058365706,Frozen Foods,82.1908,OUT049,Medium,Tier 1,Supermarket Type1,2432.8332,Train,24
768,FDV07,9.5,Low Fat,0.031346387,Fruits and Vegetables,110.7228,OUT045,Small,Tier 2,Supermarket Type1,1657.842,Train,21
769,NCL19,15.35,Low Fat,0.015663185,Others,143.947,OUT013,High,Tier 3,Supermarket Type1,3006.087,Train,36
770,FDW01,14.5,Low Fat,0.063750302,Canned,153.4682,OUT027,Medium,Tier 3,Supermarket Type3,2287.023,Train,38
771,FDC10,9.8,Regular,0.07252476,Snack Foods,120.3098,OUT027,Medium,Tier 3,Supermarket Type3,1687.1372,Train,38
772,DRC12,17.85,Low Fat,0.038040837,Soft Drinks,189.1188,OUT017,Small,Tier 2,Supermarket Type1,3237.1196,Train,16
773,DRK39,7.02,Low Fat,0.049823902,Dairy,82.225,OUT013,High,Tier 3,Supermarket Type1,2746.425,Train,36
774,FDG24,7.975,Low Fat,0.014560297,Baking Goods,81.425,OUT027,Medium,Tier 3,Supermarket Type3,1331.6,Train,38
775,FDO04,16.6,Low Fat,0.026408698,Frozen Foods,53.2614,OUT027,Medium,Tier 3,Supermarket Type3,607.8754,Train,38
776,DRB25,12.3,Low Fat,0.069446588,Soft Drinks,106.3938,OUT035,Small,Tier 2,Supermarket Type1,857.5504,Train,19
777,FDK26,5.46,Regular,0.03217132,Canned,184.824,OUT035,Small,Tier 2,Supermarket Type1,4287.752,Train,19
778,FDM52,15.1,Low Fat,0.026046138,Frozen Foods,147.2076,OUT045,Small,Tier 2,Supermarket Type1,1773.6912,Train,21
779,FDY07,11.8,Low Fat,0.121848436,Fruits and Vegetables,46.8402,OUT045,Small,Tier 2,Supermarket Type1,597.2226,Train,21
780,NCO06,19.25,Low Fat,0.108470504,Household,33.4558,OUT018,Medium,Tier 3,Supermarket Type2,441.4254,Train,14
781,FDO10,13.65,Regular,0.0085099589,Snack Foods,55.8588,OUT045,Small,Tier 2,Supermarket Type1,1431.47,Train,21
782,FDK34,13.35,Low Fat,0.038494623,Snack Foods,240.2564,OUT013,High,Tier 3,Supermarket Type1,2860.2768,Train,36
783,FDS33,6.67,Regular,0.122830885,Snack Foods,86.9514,OUT027,Medium,Tier 3,Supermarket Type3,3364.9532,Train,38
784,FDO45,13.15,Regular,0.038029746,Snack Foods,88.6856,OUT045,Small,Tier 2,Supermarket Type1,1757.712,Train,21
785,FDF08,14.3,Regular,0.065207559,Fruits and Vegetables,89.8856,OUT046,Small,Tier 1,Supermarket Type1,966.7416,Train,26
786,FDH58,12.3,Low Fat,0.037014587,Snack Foods,115.1834,OUT045,Small,Tier 2,Supermarket Type1,1958.1178,Train,21
787,FDS03,7.825,Low Fat,0.133281968,Meat,63.2826,OUT010,Small,Tier 3,Grocery Store,129.1652,Train,25
788,DRF03,19.1,Low Fat,0.045299563,Dairy,38.8138,OUT035,Small,Tier 2,Supermarket Type1,365.5242,Train,19
789,FDE02,8.71,Low Fat,0.121149472,Canned,93.7778,OUT013,High,Tier 3,Supermarket Type1,1783.6782,Train,36
790,NCZ06,19.6,Low Fat,0.094083303,Household,252.2698,OUT013,High,Tier 3,Supermarket Type1,2790.3678,Train,36
791,FDW49,19.5,Low Fat,0.0861065827,Canned,179.3002,OUT049,Medium,Tier 1,Supermarket Type1,2328.3026,Train,24
792,FDR23,15.85,Low Fat,0.0852754171,Breads,174.737,OUT017,Small,Tier 2,Supermarket Type1,2822.992,Train,16
793,NCJ29,10.6,Low Fat,0.035022503,Health and Hygiene,85.1224,OUT027,Medium,Tier 3,Supermarket Type3,2045.3376,Train,38
794,FDY35,17.6,Regular,0.016060186,Breads,47.2402,OUT045,Small,Tier 2,Supermarket Type1,505.3422,Train,21
795,FDZ01,8.975,Regular,0.009014978,Canned,102.699,OUT027,Medium,Tier 3,Supermarket Type3,3095.97,Train,38
796,FDX19,19.1,Low Fat,0.096733815,Fruits and Vegetables,233.1958,OUT046,Small,Tier 1,Supermarket Type1,5141.3076,Train,26
797,FDG44,6.13,Low Fat,0.102607233,Fruits and Vegetables,54.0298,OUT018,Medium,Tier 3,Supermarket Type2,808.947,Train,14
798,FDQ23,6.55,Low Fat,0.024521191,Breads,100.6332,OUT035,Small,Tier 2,Supermarket Type1,2665.8632,Train,19
799,FDY22,16.5,Regular,0.160624116,Snack Foods,143.8128,OUT017,Small,Tier 2,Supermarket Type1,2588.6304,Train,16
800,NCN41,17.0,Low Fat,0.052165855,Health and Hygiene,125.073,OUT013,High,Tier 3,Supermarket Type1,1108.557,Train,36
801,FDA47,10.5,Regular,0.113514422,Baking Goods,162.421,OUT045,Small,Tier 2,Supermarket Type1,1304.968,Train,21
802,NCD19,8.93,Low Fat,0.009779828555555556,Household,55.4614,OUT045,Small,Tier 2,Supermarket Type1,331.5684,Train,21
803,FDO36,19.7,Low Fat,0.07753654,Baking Goods,180.866,OUT027,Medium,Tier 3,Supermarket Type3,3235.788,Train,38
804,FDH20,16.1,Regular,0.024928351,Fruits and Vegetables,95.141,OUT013,High,Tier 3,Supermarket Type1,3089.312,Train,36
805,FDN12,15.6,Low Fat,0.08071118,Baking Goods,113.1544,OUT027,Medium,Tier 3,Supermarket Type3,3355.632,Train,38
806,NCJ30,5.82,Low Fat,0.080968973,Household,171.379,OUT018,Medium,Tier 3,Supermarket Type2,2037.348,Train,14
807,FDB09,16.25,Low Fat,0.057485328,Fruits and Vegetables,126.2046,OUT049,Medium,Tier 1,Supermarket Type1,1867.569,Train,24
808,FDA09,13.35,Regular,0.149669322,Snack Foods,180.266,OUT045,Small,Tier 2,Supermarket Type1,898.83,Train,21
809,FDL24,10.3,Regular,0.024776026,Baking Goods,172.3422,OUT027,Medium,Tier 3,Supermarket Type3,7759.899,Train,38
810,FDP03,5.15,Regular,0.061165512,Meat,125.6388,OUT035,Small,Tier 2,Supermarket Type1,2848.2924,Train,19
811,FDR58,6.675,Low Fat,0.041718456,Snack Foods,94.5462,OUT027,Medium,Tier 3,Supermarket Type3,2868.9322,Train,38
812,FDO13,7.865,Low Fat,0.06100886,Breakfast,166.0526,OUT013,High,Tier 3,Supermarket Type1,3617.9572,Train,36
813,DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239.4564,OUT035,Small,Tier 2,Supermarket Type1,5243.8408,Train,19
814,NCF42,17.35,Low Fat,0.167351411,Household,176.0712,OUT035,Small,Tier 2,Supermarket Type1,2109.2544,Train,19
815,DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36.1506,OUT035,Small,Tier 2,Supermarket Type1,721.0614,Train,19
816,FDR58,6.675,Low Fat,0.041886576,Snack Foods,92.1462,OUT013,High,Tier 3,Supermarket Type1,1203.1006,Train,36
817,FDQ15,20.35,Regular,0.150341867,Meat,83.1276,OUT027,Medium,Tier 3,Supermarket Type3,1868.2348,Train,38
818,NCP50,17.35,Low Fat,0.020542737,Others,80.5618,OUT013,High,Tier 3,Supermarket Type1,322.2472,Train,36
819,FDV45,16.75,Low Fat,0.045047439,Snack Foods,186.4556,OUT046,Small,Tier 1,Supermarket Type1,3942.8676,Train,26
820,DRP35,18.85,Low Fat,0.091008572,Hard Drinks,129.6336,OUT049,Medium,Tier 1,Supermarket Type1,3195.84,Train,24
821,FDN23,6.575,Regular,0.07549348,Breads,143.5444,OUT035,Small,Tier 2,Supermarket Type1,3338.3212,Train,19
822,FDS44,12.65,Regular,0.156286566,Fruits and Vegetables,238.9538,OUT049,Medium,Tier 1,Supermarket Type1,4086.0146,Train,24
823,NCI54,15.2,Low Fat,0.033735909,Household,110.9912,OUT018,Medium,Tier 3,Supermarket Type2,1856.2504,Train,14
824,FDH40,11.6,Regular,0.078547351,Frozen Foods,79.3276,OUT027,Medium,Tier 3,Supermarket Type3,1380.8692,Train,38
825,FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.3834,OUT035,Small,Tier 2,Supermarket Type1,1267.0174,Train,19
826,FDA21,13.65,Low Fat,0.036107198,Snack Foods,184.4924,OUT018,Medium,Tier 3,Supermarket Type2,5182.5872,Train,14
827,FDI41,18.5,Regular,0.109003832,Frozen Foods,145.2418,OUT019,Small,Tier 1,Grocery Store,147.1418,Train,38
828,FDE35,7.06,Regular,0.073480266,Starchy Foods,58.8904,OUT010,Small,Tier 3,Grocery Store,58.5904,Train,25
829,DRJ24,11.8,Low Fat,0.113234914,Soft Drinks,186.3924,OUT013,High,Tier 3,Supermarket Type1,5367.6796,Train,36
830,NCK17,11.0,Low Fat,0.037711338,Health and Hygiene,41.548,OUT027,Medium,Tier 3,Supermarket Type3,1358.232,Train,38
831,FDA15,9.3,Low Fat,0.016054884,Dairy,250.2092,OUT045,Small,Tier 2,Supermarket Type1,5976.2208,Train,21
832,FDD36,13.3,Low Fat,0.021170542,Baking Goods,117.6124,OUT027,Medium,Tier 3,Supermarket Type3,2251.7356,Train,38
833,DRD60,15.7,Low Fat,0.065188619,Soft Drinks,181.1634,OUT019,Small,Tier 1,Grocery Store,181.7634,Train,38
834,FDA46,13.6,Low Fat,0.117537563,Snack Foods,195.4136,OUT013,High,Tier 3,Supermarket Type1,5443.5808,Train,36
835,NCO54,19.5,Low Fat,0.01430324,Household,57.2614,OUT045,Small,Tier 2,Supermarket Type1,1547.3192,Train,21
836,FDL48,19.35,Regular,0.137697119,Baking Goods,47.1034,OUT010,Small,Tier 3,Grocery Store,145.8102,Train,25
837,NCM19,12.65,Low Fat,0.047008497,Others,112.0202,OUT027,Medium,Tier 3,Supermarket Type3,5063.409,Train,38
838,FDS31,13.1,Regular,0.03440078722222222,Fruits and Vegetables,178.9318,OUT049,Medium,Tier 1,Supermarket Type1,3067.3406,Train,24
839,FDV12,16.7,Regular,0.060863167,Baking Goods,97.6384,OUT035,Small,Tier 2,Supermarket Type1,2857.6136,Train,19
840,FDQ31,5.785,Regular,0.0561750521,Fruits and Vegetables,87.1856,OUT035,Small,Tier 2,Supermarket Type1,1406.1696,Train,19
841,FDK55,18.5,Low Fat,0.045105407,Meat,89.4172,OUT019,Small,Tier 1,Grocery Store,178.4344,Train,38
842,DRG15,6.13,Low Fat,0.076855207,Dairy,59.3536,OUT049,Medium,Tier 1,Supermarket Type1,1470.0864,Train,24
843,NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116.2492,OUT018,Medium,Tier 3,Supermarket Type2,2896.23,Train,14
844,FDV01,19.2,Regular,0.0801194419,Canned,154.6314,OUT027,Medium,Tier 3,Supermarket Type3,6515.5188,Train,38
845,FDT21,7.42,Low Fat,0.020474913,Snack Foods,248.4092,OUT018,Medium,Tier 3,Supermarket Type2,996.0368,Train,14
846,FDT10,16.7,Regular,0.062044506,Snack Foods,57.4562,OUT046,Small,Tier 1,Supermarket Type1,948.0992,Train,26
847,FDL56,14.1,Low Fat,0.220225608,Fruits and Vegetables,85.6198,OUT019,Small,Tier 1,Grocery Store,87.2198,Train,38
848,FDS49,9.0,Low Fat,0.079794329,Canned,80.1644,OUT017,Small,Tier 2,Supermarket Type1,1178.466,Train,16
849,FDT32,19.0,Regular,0.114916546,Fruits and Vegetables,188.4214,OUT019,Small,Tier 1,Grocery Store,565.2642,Train,38
850,NCX42,6.36,Low Fat,0.00597362,Household,164.5526,OUT013,High,Tier 3,Supermarket Type1,2137.8838,Train,36
851,FDX26,17.7,Low Fat,0.146973462,Dairy,184.1292,OUT010,Small,Tier 3,Grocery Store,547.2876,Train,25
852,FDN02,16.5,Low Fat,0.07376631,Canned,208.5638,OUT013,High,Tier 3,Supermarket Type1,2691.8294,Train,36
853,FDJ40,13.6,Regular,0.049349121,Frozen Foods,108.6912,OUT027,Medium,Tier 3,Supermarket Type3,3057.3536,Train,38
854,FDU13,8.355,Low Fat,0.328390948,Canned,146.0418,OUT019,Small,Tier 1,Grocery Store,588.5672,Train,38
855,DRE27,11.85,Low Fat,0.13267058,Dairy,96.4726,OUT046,Small,Tier 1,Supermarket Type1,978.726,Train,26
856,FDS27,10.195,Regular,0.012455787,Meat,197.511,OUT035,Small,Tier 2,Supermarket Type1,2356.932,Train,19
857,FDU44,12.15,Regular,0.058142797,Fruits and Vegetables,162.1552,OUT027,Medium,Tier 3,Supermarket Type3,3086.6488,Train,38
858,DRM59,5.88,Low Fat,0.006289291,Hard Drinks,153.2998,OUT019,Small,Tier 1,Grocery Store,461.3994,Train,38
859,FDT08,13.65,Low Fat,0.04929502,Fruits and Vegetables,150.505,OUT049,Medium,Tier 1,Supermarket Type1,2696.49,Train,24
860,FDL46,20.35,Low Fat,0.054362695,Snack Foods,117.9466,OUT017,Small,Tier 2,Supermarket Type1,1649.8524,Train,16
861,NCV30,20.2,Low Fat,0.110356797,Household,62.051,OUT010,Small,Tier 3,Grocery Store,126.502,Train,25
862,FDP51,13.85,Regular,0.085274988,Meat,119.6124,OUT046,Small,Tier 1,Supermarket Type1,2014.7108,Train,26
863,FDA51,8.05,Regular,0.164542555,Dairy,112.2518,OUT013,High,Tier 3,Supermarket Type1,1707.777,Train,36
864,FDM46,7.365,Low Fat,0.160292264,Snack Foods,94.712,OUT045,Small,Tier 2,Supermarket Type1,932.12,Train,21
865,FDK02,12.5,Low Fat,0.112859454,Canned,118.344,OUT017,Small,Tier 2,Supermarket Type1,2157.192,Train,16
866,FDJ57,7.42,Regular,0.021569566,Seafood,184.8582,OUT035,Small,Tier 2,Supermarket Type1,4643.955,Train,19
867,FDJ45,17.75,Low Fat,0.073055148,Seafood,33.7216,OUT027,Medium,Tier 3,Supermarket Type3,1280.9992,Train,38
868,NCB31,6.235,Low Fat,0.119345629,Household,261.991,OUT017,Small,Tier 2,Supermarket Type1,2366.919,Train,16
869,FDJ03,12.35,Regular,0.072334667,Dairy,49.1692,OUT013,High,Tier 3,Supermarket Type1,886.8456,Train,36
870,FDT50,6.75,Regular,0.108148913,Dairy,95.6752,OUT013,High,Tier 3,Supermarket Type1,958.752,Train,36
871,NCY41,16.75,Low Fat,0.07585337,Health and Hygiene,36.8532,OUT049,Medium,Tier 1,Supermarket Type1,1150.5024,Train,24
872,FDJ60,19.35,Regular,0.062655235,Baking Goods,163.3184,OUT045,Small,Tier 2,Supermarket Type1,2641.8944,Train,21
873,FDZ35,9.6,Regular,0.022278477,Breads,102.499,OUT046,Small,Tier 1,Supermarket Type1,1547.985,Train,26
874,FDS21,19.85,Regular,0.020961192,Snack Foods,62.0194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,Train,14
875,FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147.4076,OUT046,Small,Tier 1,Supermarket Type1,2808.3444,Train,26
876,FDQ08,15.7,Regular,0.018838681,Fruits and Vegetables,62.9536,OUT027,Medium,Tier 3,Supermarket Type3,2266.3832,Train,38
877,FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85.6908,OUT035,Small,Tier 2,Supermarket Type1,1929.4884,Train,19
878,FDS47,16.75,Low Fat,0.129086113,Breads,89.4856,OUT049,Medium,Tier 1,Supermarket Type1,1054.6272,Train,24
